SENTENCE	SLANG_TERM
You read this , and then you wanted me to come home and find this slutty little lipstick haiku so that you could be the one that ended us .	slutty little lipstick haiku
I do n't know what I 'm gon na do without you , Dad .	gonna
- Do n't touch me , you slut .	slut
I think you 're gon na like ...	gonna
Blood , can dead men do this ?	blood
Cynthia met him in rehab ;	rehab
# Downtown he did go , where he trod on the toe	trod
He 's straight out of frickin ' '' Fiddler on the Roof . '' And now that he 's back in town , they 're gon na try to set Dylan up with him .	frickin'
He slammed on the brakes , However , it was moving too quickly .	slammed
She likes to cuddle , this one .	cuddle
If you lot do n't perform for us , I 'll feed you to these guys , all right ?	guys
Not only was I the school 's most famous DUFF ,	duff
She dropped her sex toy in your car .	sex toy
I can have the kids from the neighborhood come over and bounce up and down on them at a fucking party .	kids
Mary thought Valerie was trying to steal her bloke .	bloke
I wan na kill the Queen .	wanna
A 9/ 11 widower gets beat up by the cops .	cops
I mean , like 25 pages of dribble --	dribble
I waited until you broke up with her , but me too .	broke up
I met her the other night .	other
Oh , sweet pea , Mommy misses you so much .	sweet pea
Dude , I can see you .	dude
Then we 'll ring his room .	ring
`` I think maybe we should just not . ''	just not
- You like being on top ?	on top
♪ It 's gon na take more than a year ♪	gonna
Let 's get through today , let 's keep our eye on the prize , let 's focus and let 's close some ass .	prize
You 're not firing people , are you ?	firing
- It 's a fucking ferry ride away , mate .	mate
# Watching ... roaches climb the wall	roaches
Why do n't we take this downstairs , huh ?	huh
- I know you 're feelin ' it .	feelin' it
Do n't think for one minute you 'll have me , because you will not .	don’t think for one minute
Ahh , pleasure to see you again , Captain .	ahh
So much for blowing him up .	blowing him up
look who it is , smart guy :	smart guy
I thought you were gon na tell me Becky was hurt or homeless or something .	gonna
We 'd a mole in a terrorist cell and they 'd been planning an attack on Whitehall .	mole
He looks harmless , but he does represent the magazine that trashed '' Layla '' ... broke up Cream , ripped every album Led Zeppelin ever made .	trashed
- Your promises do n't mean shit .	shit
Catch up with you later .	catch up
I 'm getting my masters in June .	masters
Well , ca n't win ' em all .	'em
Just did n't want you to drink and drive .	drink and drive
- That I need some air .	air
Will you please sit down ?	informal conversation to express  frustration
Frankie ... so you still want to keep two black-and-whites in front of the house ?	there are no slangs in this sentence
If there is a problem , I can just go .	bitch
I did n't think you were gon na make it :	gonna
Well , we had to give her a Sweet 16 on her 13th birthday .	sweet 16
Listen , I 'm gon na leave him here with you .	gonna
What about the kids , Darius ?	kids
I do n't wan na sit on me arse all day , you know .	wanna
Listen to the guy , he 's got something to say .	guy
Where do you get sweet ?	sweet
What was the name of that girl we were keen on ?	keen
Besides , what 's wrong with playing the field ?	playing the field
My work represents a positive affirmation of what it is to be gay in the 21st century .	stupid
You trashed my fucking dressing room , and you did n't do your 25 minutes .	guitarist
♪ Like the Great One said	sucks
They would pull him in for questioning , but ...	pull
That would 've been insider trading , Mr. Gekko .	engaged
Now let 's focus on getting out of here , okay ?	okay
Duh , girls hear that more than hello .	duh
Yeah , safe for doing this , yeah ?	yeah
This ai n't worth killing for .	ain't
We ca n't take out L Dubba E and his bullshit ass shit alone .	l dubba
Call me if you need a rescue .	rescue
I sha n't see another Christmas .	shan't
Tough to get an ambulance too .	tough
And frankly , because I 'd love to beat the crap out of you on a bike .	crap
That does n't give us the right to determine another man 's fate .	mother's womb
No , seriously , thank you for everybody who 's , uh , shared and stuff .	uh
Time for some damage control	damage control
I 'm flying to New York myself .	flying
Okay , Slug Man , can you tell us just what the fuck this place is ?	slug man
When I say now , you go full throttle .	full throttle
Well , if I have to sit here with you , you better be glad it 's not a mountain of cocaine .	a mountain of cocaine
- She is giving us the deal of a lifetime .	conflicts
Or do you think the truth behind this kind of will always sound shallow , you know , everybody 's real reasons ?	you know
- face down the legions of evil ...	legions of evil
I think it 's a '' ZR1 '' .	zr1
I 'm gon na be the man who goes along with you	gonna
Now I want you to get cleaned up , I want you to go to that dance , and rock that homecoming like my Bianca Piper would .	rock
Four , five , six years of endless side roads and pointless detours .	endless
- Yeah , and you do n't want me to go either .	yeah
The way they look in heels , those teeny red bumps that people get when they 're shaving their legs ... that women get when they 're shaving their legs .	teeny
Yeah , but you 've got no ambition .	yeah
They used to hang round in a big gang where they used to go to the woods and pick magic mushrooms and all that .	hang around
He could be halfway out at sea by now	out at sea
You ai n't a killer , blood .	ain't
Not sure that 's gon na help .	gonna
Why are n't you gon na open it ?	gonna
You 'll know it when you hear it .	know
what are you two gon na do ?	gonna
We had to let Strangler go , 'cause , well , the dramas backstage were getting better than the actual show .	cause
I 'd be happy if you , you know ...	you know
All right , what the hell is a black light bulb ... doin ' in a warehouse in Long Beach ?	what the hell
That was what Ryan Giggs was all about .	all about
Oh , this is some kiddie shit , Sphinx .	kiddie shit
Meet up with Rich , Josh , in Mexico .	mexico
Thy navel is like a round goblet ... wherein no mingled wine is wanting .	thy
So Darius , he tries to kill himself , he makes mincemeat of his throat but still misses the carotid artery ?	mincemeat
I thought it might the big push .	big push
Oh , yeah , no , I 'm fine but ...	yeah
Maybe if you was a man instead of a yout in a man 's body you would know that .	yout
If you 're gon na be unfair with me ...	gonna
We clearing like 50 thou ' a day .	50 thou'
We 'll make a man of you yet .	make a man of you
No , they 're gon na say the right thing .	gonna
That 's ' cause you 're so mean .	cause
I 'm having none of that .	having none of that
It 's not gon na happen , man .	gonna
I 'm not gon na be made to look a fool in front of these people .	gonna
You ca n't expect someone like me to buy into all this .	buy into
Hey , how 's it going , son ?	son
I 'm visualizing mega endorsement deals .	visualizing
- I got it , man , I got it .	man
I 'm locked up , I 'm in a room .	locked up
So how do you wan na play it ?	play it
What happen to the old Dane , I used to know that would draw rainbows and people with smiley faces on them ?	the old
So , listen , just enjoy it , OK ?	ok
The good news is the bar drinks are on me .	drinks are on me
♪ With a razor blade Yeah , it takes the piss	yeah
I was his best friend .	buddy
Just phone her , you fucking ponce .	ponce
Well , high-tech toys and porn and then out of the blue , he buys a gold wristwatch .	toys
But then you 're going to have to promise you 're going to get in your jammies .	jammies
It 's never gon na happen , Combo .	gonna
Did your dad take you for ice cream on the way home ?	spank him
♪ I got you , baby I got you	baby
You do let him speak from time to time ?	time to time
All I ask is that if anybody sees Ohristie Dillon or knows anything about her , to please contact 911 so we can get her back here where she belongs , at home with her family .	there are no slangs in this sentence
Me and Louise were just talking about how stupid you are .	stupid
I 'm gon na live in Morocco for one year .	gonna
Uh ... maybe this will suit what you 're looking for .	uh
... since we bloody lived here .	bloody
Ster , in that pirouette , it 's a pancake moment .	pancake
We 've got a bit of a situation , mate .	mate
Look , just shut it , old school .	old school
I 'll need my cut tonight .	cut
We 're gon na create a footballing dynasty here .	gonna
- Do n't be a drama queen .	drama queen
That 's all ... you ruffle my hair .	ruffle
Just nod if you 're cool .	cool
Who 's got the best butt ?	butt
So I guess you 're the big hero here .	hero
Did you roofie me last night ?	roofie
That just breaks my heart .	breaks my heart
Look , I do n't have time for this , man .	man
Yeah , he tried to come over last night , but I was n't having that .	having
Got them all confused into thinking they 're legit .	bastards
I 'm going to have to run a tab for a while .	run
So you gon na come in for a sec ?	come in for a sec
